Adjusted_ID,GPA_Fall ,Sex,Cohort ,Athlete_Team,Major_Fall,Total_Attendance,TW1_Attendance,Social_1,Emotional_1,Academic_1,Athletic_1,TW2_Attendance,Social_2,Emotional_2,Academic_2,Athletic_2,TW3_Attendance,Social_3,Emotional_3,Academic_3,Athletic_3,TW4_Attendance,Social_4,Emotional_4,Academic_4,Athletic_4
232401,3.41,2,2,Track/Cross Country,3,4,1,4,4,4,4,1,4,4,2,4,1,4,4,4,5,1,4,4,4,4
232402,1.54,1,2,Lacrosse,1,2,1,2,3,3,5,1,1,1,2,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA
232403,3.46,2,2,Softball,3,4,1,4,4,4,5,1,4,5,4,5,1,4,2,2,4,1,5,4,4,5
232404,3.26,1,2,Swimming and Diving,2,4,1,5,5,4,4,1,5,5,5,5,1,5,5,4,5,1,5,5,4,5
232405,3.41,2,2,Softball,3,4,1,4,4,4,4,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5
232406,3.68,2,2,Track/Cross Country,2,3,1,2,4,4,5,1,4,4,4,5,0,NA,NA,NA,NA,1,4,4,2,4
232407,3.64,1,2,Swimming and Diving,3,4,1,4,2,4,4,1,4,4,4,2,1,4,4,4,4,1,4,2,4,2
232408,3.86,2,2,Track/Cross Country,0,2,1,2,4,4,4,1,4,4,2,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA
232409,3.79,2,2,Field Hockey,3,4,1,4,4,5,4,1,5,4,5,4,1,5,5,5,4,1,5,5,5,4
2324010,3.36,1,2,Track/Cross Country,3,4,1,2,4,2,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,5
2324011,4,2,2,Softball,3,4,1,4,2,4,2,1,4,4,4,4,1,5,4,5,4,1,5,4,5,4
2324012,4,2,2,Basketball,3,4,1,2,4,4,3,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4
2324013,1.8,1,2,Track/Cross Country,3,3,1,4,4,2,4,1,4,5,2,5,1,2,2,2,5,0,NA,NA,NA,NA
2324014,3.82,1,2,Track/Cross Country,1,3,1,5,4,4,4,1,4,2,2,2,0,NA,NA,NA,NA,1,2,3,3,3
2324015,3.46,2,2,Track/Cross Country,2,3,1,4,4,4,4,1,4,4,2,4,0,NA,NA,NA,NA,1,4,4,4,4
2324016,3.11,2,2,Track/Cross Country,0,4,1,4,4,4,4,1,4,4,2,1,1,5,5,4,2,1,5,4,2,2
2324017,3.47,2,2,Track/Cross Country,3,4,1,4,2,2,4,1,4,2,2,2,1,5,4,2,2,1,5,4,2,4
2324018,2.35,1,2,Lacrosse,1,3,1,5,5,5,5,0,NA,NA,NA,NA,1,5,5,4,4,1,5,5,2,4
2324019,3.6,2,2,Soccer,0,4,1,4,4,3,4,1,4,4,2,4,1,4,4,2,4,1,5,4,4,4
2324020,3.09,1,2,Soccer,0,3,1,5,4,4,4,1,2,2,2,2,1,4,4,4,4,0,NA,NA,NA,NA
2324021,3.32,1,2,Lacrosse,2,2,1,5,5,5,5,1,5,5,1,5,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2324022,3,1,2,Lacrosse,2,2,1,5,4,4,4,1,,,,,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2324023,2.75,1,2,Swimming and Diving,2,4,1,4,4,4,4,1,5,4,4,4,1,5,5,4,5,1,5,5,5,5
2324024,2.7,1,2,Basketball,0,4,1,4,4,2,4,1,4,4,2,4,1,2,2,2,2,1,4,4,2,2
2324025,3.82,1,2,Track/Cross Country,3,3,1,2,2,4,5,1,2,2,2,4,0,NA,NA,NA,NA,1,2,2,2,2
2324026,4,2,2,Soccer,3,2,1,4,4,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,5,5,5,5
2324027,3.39,2,2,Soccer,3,3,1,5,4,2,2,1,5,4,2,2,1,5,4,4,2,0,NA,NA,NA,NA
2324028,2.25,2,2,Swimming and Diving,3,4,1,2,2,4,4,1,4,2,4,5,1,4,4,4,4,1,4,4,4,4
2324029,2.9,1,2,Swimming and Diving,2,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4
2324030,3.57,2,2,Volleyball,2,4,1,4,2,2,2,1,4,4,4,4,1,4,4,4,4,1,5,5,4,5
2324031,3.91,1,2,Track/Cross Country,3,4,1,5,4,4,5,1,4,4,4,5,1,4,4,4,5,1,4,4,4,4
2324032,2,1,2,Swimming and Diving,2,3,1,5,4,4,5,1,5,5,4,5,1,4,4,4,5,0,NA,NA,NA,NA
2324033,3.9,2,2,Volleyball,3,3,1,3,2,2,2,1,2,2,4,4,1,2,2,2,2,0,NA,NA,NA,NA
2324034,2.9,2,2,Softball,3,3,1,4,4,1,4,0,NA,NA,NA,NA,1,4,4,4,4,1,4,4,4,4
2324035,1.33,1,2,Track/Cross Country,2,1,1,2,4,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2324036,3.12,2,2,Lacrosse,2,3,1,2,2,3,2,1,4,4,4,4,1,5,4,4,4,0,NA,NA,NA,NA
2324037,3.94,2,2,Track/Cross Country,3,4,1,4,4,4,4,1,4,4,4,1,1,4,4,4,4,1,5,5,5,4
2324038,2.64,2,2,Soccer,2,1,1,4,4,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2324039,3.43,1,2,Track/Cross Country,3,4,1,4,4,4,4,1,4,4,2,4,1,4,4,4,4,1,2,2,2,2
2324040,3.46,1,2,Lacrosse,2,4,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5
2324041,2.54,2,2,Soccer,0,1,1,4,4,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2324042,3.56,2,2,Soccer,2,4,1,4,4,4,4,1,5,5,4,5,1,5,4,4,4,1,5,5,4,4
2324043,3.86,2,2,Tennis,3,4,1,5,5,4,5,1,5,5,5,5,1,5,5,5,5,1,5,5,4,4
2324044,3.07,2,2,Swimming and Diving,0,4,1,2,2,2,4,1,2,2,2,4,1,4,4,4,5,1,4,4,4,4
2324045,3.6,1,2,Soccer,2,1,1,4,4,4,4,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
2324046,3.3,1,2,Ice Hockey,2,4,1,5,5,4,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5
2324047,2.67,1,2,Lacrosse,3,4,1,4,4,3,3,1,4,4,2,2,1,2,4,2,4,1,4,4,2,4
